Authors;Title;Year;Source title;Volume;Issue;Art. No.;Page start;Page end;Page count;DOI;Link;Abstract;Author Keywords;Document Type;Source;include;tracer;mechanisms_glomalin_etc;diversity_ecology;climate_action;new_methods;search;ecoregion_Bailey;landcover_8_clases_ESA;plant_functional_type;woody_herbaceous;plant_genus;plant_spp;plant_cv;needle_broad;symbiont_functional_type;symbiont_genus;symbiont_spp_isolate;method;label_pulse;label_chase;CO2_conc;pot_field;FACE;n;lat;long;colonization_perc;hypha_cm_g;temp_C;light_umol_m2_s;C_hypha_perc;C_hypha_perc_se;notes;soil-based_hyphalC;SOUNDBITE;;
Grimoldi, A., Kavanová, M., Lattanzi, F., Schäufele, R. and Schnyder, H.;Arbuscular mycorrhizal colonization on carbon economy in perennial ryegrass: quantification by 13CO2/ 12CO2 steady‐state labelling and gas exchange.;2006;New Phytologist;172;;;544;553;;10.1111/j.1469-8137.2006.01853.x;https://doi.org10.1111/j.1469-8137.2006.01853.x;;;Article;Snowball;y;y;n;n;n;n;na;tbc;Cropland;crop_grass;herbaceous;Lolium;perenne;;;AMF;Glomus;hoi;13C;16;6;ambient;pot;;4;48.160373;11.521643;32;1.3mgC/cm3;17.5;525;6;;1.3 mgC/g soil or 1.3mgC/cm if assume bulk density = 1, 5cmx35cm pots;;"The estimated flux of plant-fixed carbon or net primary productivity (NPP) to mycorrhiza is 6.4% (AM); 13.1% (ECM); 3.5% (ERM); 4.6% (DSE); and 1% (OM) based on a total of 188 datasets (all citations with hyphal data in database)";;
Douds Jr. D.D., Pfeffer P.E., Shachar-Hill Y.;Application of in vitro methods to study carbon uptake and transport by AM fungi;2000;Plant and Soil;226;2;;255;261;;10.1023/A:1026466802354;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034490376&doi=10.1023%2fA%3a1026466802354&partnerID=40&md5=4a74367b54ffe3c6fc90c7456c8cef39;"Just as multi-compartmented root chambers have advantages over standard plastic pots for the study of nutrient uptake by arbuscular mycorrhizal [AM] fungi in soil, so the split-plate in vitro system has advantages over the standard dual culture system for the study of the physiology of AM fungi. We used the split-plate culture system of Ri T-DNA transformed Daucus carota L. roots and Glomus intraradices Schenck &amp; Smith, in which only the fungus has access to the distal compartment, to study the ability of germ tubes and extraradical and intraradical hyphae to take up 13C-labeled substrates. Labeled substrates were added to one side of the plate divider and plates were incubated for 8 weeks while the fungus proliferated on the side from which the root was excluded. Tissues then were recovered from the plate and examined via NMR spectroscopy. Results showed that the morphological phases of the fungus differed in their ability to take up these substrates, most notably that intraradical hyphae take up hexose while extraradical hyphae cannot. In addition. NMR studies indicated that intraradical hyphae actively synthesized lipids while extraradical hyphae did not. These data show that eventual axenic culture of AM fungi is more than a matter of finding the proper substrate for growth. Genetic regulation must be overcome to make extraradical hyphae behave like intraradical hyphae in terms of C uptake and metabolism.";"Arbuscular mycorrhiza; Carbon uptake; In vitro culture; Nuclear magnetic resonance";Article;Scopus;y;y;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;Cropland;forb;herbaceous;Daucus;carota;;;AMF;Rhizophagus;irregularis;13C;1344;0;ambient;axenic;;10;32.279289;-106.749139;;;24;;26.0000;;carrot, estimate no SE or calcs shown;;"The total allocation of C to mycorrhizal external hyphae alone is 2.17 Gt C yr-1 for arbuscular mycorrhiza (AM); 1.71 Gt C yr-1 for ectomycorrhiza (ECM); and 0.03 Gt C yr-1 for ericoid mycorrhiza (ERM), equating to a total of 3.91 Gt or billion tons of C yr-1 or 14.35 billion tons of CO2 yr-1, or all emissions in 2021 from coal  (based on all citations with hyphal data in database)";;
Douds Jr. D.D., Johnson C.R., Koch, K.E.;Carbon cost of the fungal symbiont relative to net leaf P accumulation in a split-root VA mycorrhizal symbiosis;1988;Plant Physiology;86;;;491;496;;10.1104/pp.86.2.491;;Translocation of 14C-photosynthates to mycorrhizal (+ +), half mycorrhizal (0+), and nonmycorrhizal (00) split-root systems was compared to P accumulation in leaves of the host plant. Carrizo citrange seedlings (Poncirus trifoliata [L.] Raf. x Citrus sinensis [L.] Osbeck) were inoculated with the vesicular-arbuscular mycorrhizal fungus Glomus intraradices Schenck and Smith. Plants were exposed to 14 CO2 for 10 minutes and ambient air for 2 hours. Three to 4% of recently labeled photosynthate was allocated to metabolism of the mycorrhiza in each inoculated root half independent of shoot P concentration, growth response, and whether one or both root halves were colonized. Nonmycorrhizal roots respired more of the label translocated to them than did mycorrhizal roots. Label recovered in the potting medium due to exudation or transport into extraradical hyphae was 5 to 6 times greater for (+ +) versus (00) plants. In low nutrient media, roots of (0+ ) and ( + + ) plants transported more P to leaves per root weight than roots of (00) plants. However, when C translocated to roots utilized for respiration, exudation, etc., as well as growth is considered, (00) plant roots were at least as efficient at P uptake (benefit) per C utilized (cost) as (0+) and (+ +) plants. Root systems of ( + + ) plants did not supply more P to leaves than (0+ ) plants in higher nutrient media, yet they still allocated twice the 14C-photosynthate to the mycorrhiza as did (0+) root systems. This indicates there is an optimal level of mycorrhizal colonization above which the plant receives no enhanced P uptake yet continues to partition photosynthates to metabolism of the mycorrhiza.;;Article;Snowball;y;y;y;n;n;n;na;tbc;Plantation;tree;woody;Citrus;sinensis;cross;;AMF;Rhizophagus;irregularis;14C;0.3;2;ambient;pot;;6;29.651634;-82.324826;74;;35;700;2.8000;;sweet orange, corrected for root exudates using nonmycorrhizal plants, low P exp;;The 14.35 billion tons of CO2 yr-1 allocated to mycorrhizal hyphae is approximately to all the CO2 emissions from coal in 2021 (national estimates based on IEA (2022)). ;;
Douds Jr. D.D., Johnson C.R., Koch, K.E.;Carbon cost of the fungal symbiont relative to net leaf P accumulation in a split-root VA mycorrhizal symbiosis;1988;Plant Physiology;86;;;491;496;;10.1104/pp.86.2.491;;Translocation of 14C-photosynthates to mycorrhizal (+ +), half mycorrhizal (0+), and nonmycorrhizal (00) split-root systems was compared to P accumulation in leaves of the host plant. Carrizo citrange seedlings (Poncirus trifoliata [L.] Raf. x Citrus sinensis [L.] Osbeck) were inoculated with the vesicular-arbuscular mycorrhizal fungus Glomus intraradices Schenck and Smith. Plants were exposed to 14 CO2 for 10 minutes and ambient air for 2 hours. Three to 4% of recently labeled photosynthate was allocated to metabolism of the mycorrhiza in each inoculated root half independent of shoot P concentration, growth response, and whether one or both root halves were colonized. Nonmycorrhizal roots respired more of the label translocated to them than did mycorrhizal roots. Label recovered in the potting medium due to exudation or transport into extraradical hyphae was 5 to 6 times greater for (+ +) versus (00) plants. In low nutrient media, roots of (0+ ) and ( + + ) plants transported more P to leaves per root weight than roots of (00) plants. However, when C translocated to roots utilized for respiration, exudation, etc., as well as growth is considered, (00) plant roots were at least as efficient at P uptake (benefit) per C utilized (cost) as (0+) and (+ +) plants. Root systems of ( + + ) plants did not supply more P to leaves than (0+ ) plants in higher nutrient media, yet they still allocated twice the 14C-photosynthate to the mycorrhiza as did (0+) root systems. This indicates there is an optimal level of mycorrhizal colonization above which the plant receives no enhanced P uptake yet continues to partition photosynthates to metabolism of the mycorrhiza.;;Article;Snowball;y;y;y;n;n;n;na;tbc;Plantation;tree;woody;Citrus;sinensis;cross;;AMF;Rhizophagus;irregularis;14C;0.3;2;ambient;pot;;6;29.651634;-82.324826;77;;35;700;0.2400;;sweet orange, corrected for root exudates using nonmycorrhizal plants, high P exp;;Arbuscular mycorrhiza draw about 6.4% of plant-fixed carbon belowground into their external hyphae but this can be as high as 51% (based on all AM studies in database);;
Soudzilovskaia N.A., van der Heijden M.G.A., Cornelissen J.H.C., Makarov M.I., Onipchenko V.G., Maslov M.N., Akhmetzhanova A.A., van Bodegom P.M.;Quantitative assessment of the differential impacts of arbuscular and ectomycorrhiza on soil carbon cycling;2015;New Phytologist;208;1;;280;293;;10.1111/nph.13447;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940467172&doi=10.1111%2fnph.13447&partnerID=40&md5=e916c9e4b95c62d3cb1c1023f63449a5;A significant fraction of carbon stored in the Earth's soil moves through arbuscular mycorrhiza (AM) and ectomycorrhiza (EM). The impacts of AM and EM on the soil carbon budget are poorly understood. We propose a method to quantify the mycorrhizal contribution to carbon cycling, explicitly accounting for the abundance of plant-associated and extraradical mycorrhizal mycelium. We discuss the need to acquire additional data to use our method, and present our new global database holding information on plant species-by-site intensity of root colonization by mycorrhizas. We demonstrate that the degree of mycorrhizal fungal colonization has globally consistent patterns across plant species. This suggests that the level of plant species-specific root colonization can be used as a plant trait. To exemplify our method, we assessed the differential impacts of AM : EM ratio and EM shrub encroachment on carbon stocks in sub-arctic tundra. AM and EM affect tundra carbon stocks at different magnitudes, and via partly distinct dominant pathways: via extraradical mycelium (both EM and AM) and via mycorrhizal impacts on above- and belowground biomass carbon (mostly AM). Our method provides a powerful tool for the quantitative assessment of mycorrhizal impact on local and global carbon cycling processes, paving the way towards an improved understanding of the role of mycorrhizas in the Earth's carbon cycle. © 2015 New Phytologist Trust.;"Arbuscular mycorrhizal (AM) fungi; Ectomycorrhizal (EM) fungi; Extraradical mycelium; Intraradical mycelium; Plant trait; Root length colonization; Root tips; Sub-arctic ecosystems";Article;Scopus;y;n;y;y;y;y;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;Tundra;herbaceous;herbaceous;;;;;AMF;Natural;community;biomass;;;ambient;field;;7;;;;;;;;;;;;;
Bi Y., Wang X., Cai Y., Christie P.;Arbuscular mycorrhizal colonization increases plant above-belowground feedback in a northwest Chinese coal mining–degraded soil by increasing photosynthetic carbon assimilation and allocation to maize;2022;Environmental Science and Pollution Research;;;;;;;10.1007/s11356-022-19838-z;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130741353&doi=10.1007%2fs11356-022-19838-z&partnerID=40&md5=998358c31292f4c4264aa7d1600b65cc;A three-compartment culture system was used to study the mechanism by which the AM fungus Funneliformis mosseae influences host plant growth and soil organic carbon (SOC) content in a northwest China coal mining area. A 13CO2 pulse tracing technique was used to trace the allocation of maize photosynthetic C in shoots, roots, AM fungus, and soil. Carbon accumulation and allocation in mycorrhizal (inoculated with Funneliformis mosseae) and non-mycorrhizal treatments were detected. AM fungal inoculation significantly increased the 13C concentration and content in both above- and below-ground plant parts and also significantly enhanced anti-aging ability by increasing soluble sugars and catalase activity (CAT) in maize leaves while reducing foliar malondialdehyde content (MDA) and leaf temperature and promoted plant growth. AM fungi also increased P uptake to promote maize growth. Soil organic carbon (SOC), glomalin, microbial biomass carbon (MBC), and nitrogen (MBN) contents increased significantly after inoculation. A mutually beneficial system was established involving maize, the AM fungus and the microbiome, and the AM fungus became an important regulator of C flux between the above- and below-ground parts of the system. Inoculation with the AM fungus promoted plant growth, C fixation and allocation belowground to enhance soil quality. A positive above-belowground feedback appeared to be established. © 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.;"13CO2 pulse labeling; AM fungi; Carbon allocation; Positive feedback; Soil carbon content; Stress resistance";Article;Scopus;y;y;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;Cropland;grass;herbaceous;Zea;mays;;;AMF;Funneliformis;mosseae;13C;9;0;ambient;pot;;3;39.998013;116.348645;79;1.56m/g;39;;0.1190;;maize;;;;
Thirkell T.J., Campbell M., Driver J., Pastok D., Merry B., Field K.J.;Cultivar-dependent increases in mycorrhizal nutrient acquisition by barley in response to elevated CO2;2021;Plants People Planet;3;5;;553;566;;10.1002/ppp3.10174;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104701977&doi=10.1002%2fppp3.10174&partnerID=40&md5=257ef565524940f1bbf4622e2d0c7241;Modern agriculture is under pressure to meet yield targets while reducing reliance on finite resources to improve sustainability. Climate change represents an additional challenge—elevated atmospheric CO2 concentrations may increase plant growth and boost yield, but the nutritional value of crops grown at elevated CO2 is often reduced. Arbuscular mycorrhizal fungi (AMF) can improve plant nutrition, although how this symbiosis will be affected by climate change is unclear. Here, we demonstrate mycorrhizal contribution to nitrogen and phosphorus nutrition in barley under current and future CO2 concentrations. In one cultivar, AMF substantially increased phosphorus uptake at elevated CO2 and prevented phosphorus dilution, suggesting the symbiosis may become more important for crop nutrient uptake in the future. Summary Globally important cereals such as barley (Hordeum vulgare L.) often engage in symbiosis with arbuscular mycorrhizal fungi (AMF). The impact of elevated atmospheric CO2 on nutrient exchange between these symbionts remains unknown. In controlled environment experiments, we used isotope tracers (15N, 33P, 14C) to quantify nutrient fluxes between two barley cultivars (Moonshine and Riviera) and their associated AMF at ambient (440 ppm) and elevated (800 ppm) CO2. Elevated CO2 reduced shoot N concentration in Moonshine, and shoot N and P concentration in Riviera. Elevated CO2 substantially increased mycorrhizal 33P acquisition in Moonshine. Mycorrhizal contribution to P uptake in Moonshine may have prevented dilution of tissue P concentration at elevated CO2. In Riviera, AMF did not improve 33P acquisition. Both cultivars received 15N from their AMF symbionts, and this acquisition was not influenced by CO2 concentration, although Moonshine received more 15N than Riviera. Our results suggest that AMF may provide substantial contributions to barley nutrition at current and projected future CO2 concentrations. This is especially noteworthy for barley, which is generally considered to have low mycorrhizal receptivity. AMF may help alleviate or avoid nutrient dilution normally observed at elevated CO2. Variation between cultivars indicates that mycorrhizal contribution to cereal nutrition could be improved through selective breeding practices. © 2020 The Authors. Plants, People, Planet © New Phytologist Foundation;"arbuscular mycorrhiza; barley; carbon; carbon dioxide; climate change; mineral nutrients; sustainable agriculture";Article;Scopus;y;y;n;y;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;Cropland;grass;herbaceous;Hordeum;vulgare;Moonshine;;AMF;Rhizophagus;irregularis;14C;22;22;ambient;pot;;12;53.806681;-1.555033;18;;20;225;0.2031;;barley;;;;
Thirkell T.J., Campbell M., Driver J., Pastok D., Merry B., Field K.J.;Cultivar-dependent increases in mycorrhizal nutrient acquisition by barley in response to elevated CO2;2021;Plants People Planet;3;5;;553;566;;10.1002/ppp3.10174;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104701977&doi=10.1002%2fppp3.10174&partnerID=40&md5=257ef565524940f1bbf4622e2d0c7241;Modern agriculture is under pressure to meet yield targets while reducing reliance on finite resources to improve sustainability. Climate change represents an additional challenge—elevated atmospheric CO2 concentrations may increase plant growth and boost yield, but the nutritional value of crops grown at elevated CO2 is often reduced. Arbuscular mycorrhizal fungi (AMF) can improve plant nutrition, although how this symbiosis will be affected by climate change is unclear. Here, we demonstrate mycorrhizal contribution to nitrogen and phosphorus nutrition in barley under current and future CO2 concentrations. In one cultivar, AMF substantially increased phosphorus uptake at elevated CO2 and prevented phosphorus dilution, suggesting the symbiosis may become more important for crop nutrient uptake in the future. Summary Globally important cereals such as barley (Hordeum vulgare L.) often engage in symbiosis with arbuscular mycorrhizal fungi (AMF). The impact of elevated atmospheric CO2 on nutrient exchange between these symbionts remains unknown. In controlled environment experiments, we used isotope tracers (15N, 33P, 14C) to quantify nutrient fluxes between two barley cultivars (Moonshine and Riviera) and their associated AMF at ambient (440 ppm) and elevated (800 ppm) CO2. Elevated CO2 reduced shoot N concentration in Moonshine, and shoot N and P concentration in Riviera. Elevated CO2 substantially increased mycorrhizal 33P acquisition in Moonshine. Mycorrhizal contribution to P uptake in Moonshine may have prevented dilution of tissue P concentration at elevated CO2. In Riviera, AMF did not improve 33P acquisition. Both cultivars received 15N from their AMF symbionts, and this acquisition was not influenced by CO2 concentration, although Moonshine received more 15N than Riviera. Our results suggest that AMF may provide substantial contributions to barley nutrition at current and projected future CO2 concentrations. This is especially noteworthy for barley, which is generally considered to have low mycorrhizal receptivity. AMF may help alleviate or avoid nutrient dilution normally observed at elevated CO2. Variation between cultivars indicates that mycorrhizal contribution to cereal nutrition could be improved through selective breeding practices. © 2020 The Authors. Plants, People, Planet © New Phytologist Foundation;"arbuscular mycorrhiza; barley; carbon; carbon dioxide; climate change; mineral nutrients; sustainable agriculture";Article;Scopus;y;y;n;y;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;Cropland;grass;herbaceous;Hordeum;vulgare;Riviera;;AMF;Rhizophagus;irregularis;14C;22;22;ambient;pot;;12;53.806681;-1.555033;10;;20;225;0.0917;;barley;;;;
Stock S.C., Koester M., Boy J., Godoy R., Nájera F., Matus F., Merino C., Abdallah K., Leuschner C., Spielvogel S., Gorbushina A.A., Kuzyakov Y., Dippold M.A.;Plant carbon investment in fine roots and arbuscular mycorrhizal fungi: A cross-biome study on nutrient acquisition strategies;2021;Science of the Total Environment;781;;146748;;;;10.1016/j.scitotenv.2021.146748;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103694252&doi=10.1016%2fj.scitotenv.2021.146748&partnerID=40&md5=81d70bc7f9b5fcb3f271c4ba4e3e6113;Comparing the belowground allocation of assimilated carbon (C) to roots and mycorrhizal fungi across biomes can reveal specific plant nutrient acquisition strategies in ecosystems and allows to predict consequences of environmental changes. Three natural ecosystems (arid shrubland, coastal matorral, humid-temperate forest) distinct in annual precipitation and vegetation cover and compositions were selected to conduct a 13CO2 pulse labeling of natural woody vegetation to chase the allocation of assimilated C to arbuscular mycorrhizal (AM) fungi and fine roots. Further, nitrogen (N) and phosphorus (P) availability, root traits, root colonization, and the extraradical AM fungal mycelium (PLFA and NLFA 16:1ω5c) were analyzed to evaluate the efficiency of nutrient acquisition strategies. AM fungal colonization decreased with increasing aridity by up to 55% intraradical and by up to 90% extraradical. High root tissue densities – indicating longevity of roots – and low specific root lengths – indicating a low nutrient uptake capacity – pointed to a slow and resource conservative acquisition strategy of plants in the arid shrubland. Plants in the matorral, on the contrary, had lower root tissue densities but higher specific root lengths and higher root N contents, pointing to a fast nutrient acquisition strategy. The expression of abundant acquisitive fine roots of plants in the matorral, however, comes at the cost of larger C investment, shown by high 13C incorporation into root tissue. High root tissue densities and greater root diameter indicated that plants in the humid-temperate forest followed a resource-conservative strategy and outsource their nutrient acquisition to AM fungi. This outsourcing provides an efficient pathway to compensate a low uptake capacity of thick and dense roots. These ecosystem-specific acquisition strategies and distinct mutualism with AM fungi across the biomes will likely affect the sensitivity of plants to abiotic and biotic stressors and, thus, ecosystem responses to future climatic and environmental changes. © 2021 Elsevier B.V.;"13CO2 pulse labeling; Arbuscular mycorrhiza; Natural ecosystems; Plant economic spectrum; Root economics space; Temperate rain forest";Article;Scopus;y;y;n;y;n;y;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;Shrubland;shrub;woody;Erigeron;fasciculatus ;;;AMF;Natural;community;13C;1;22;ambient;field;;4;-32.96;-71.06;23;;15.5;;0.4340;;Asteraceae plant from semi-arid coastal matorral (aridity index 0.24). C allocation measured as % incorperation of 13C tracer into NLFA 16:1ω5c (storage compound specific to AM). Mycelium at 0-30cm after 14d labelling (added 0-10cm and 20-30cm). Per mill values were convered to % by dividing results in plot by 10;;;;
Stock S.C., Koester M., Boy J., Godoy R., Nájera F., Matus F., Merino C., Abdallah K., Leuschner C., Spielvogel S., Gorbushina A.A., Kuzyakov Y., Dippold M.A.;Plant carbon investment in fine roots and arbuscular mycorrhizal fungi: A cross-biome study on nutrient acquisition strategies;2021;Science of the Total Environment;781;;146748;;;;10.1016/j.scitotenv.2021.146748;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103694252&doi=10.1016%2fj.scitotenv.2021.146748&partnerID=40&md5=81d70bc7f9b5fcb3f271c4ba4e3e6113;Comparing the belowground allocation of assimilated carbon (C) to roots and mycorrhizal fungi across biomes can reveal specific plant nutrient acquisition strategies in ecosystems and allows to predict consequences of environmental changes. Three natural ecosystems (arid shrubland, coastal matorral, humid-temperate forest) distinct in annual precipitation and vegetation cover and compositions were selected to conduct a 13CO2 pulse labeling of natural woody vegetation to chase the allocation of assimilated C to arbuscular mycorrhizal (AM) fungi and fine roots. Further, nitrogen (N) and phosphorus (P) availability, root traits, root colonization, and the extraradical AM fungal mycelium (PLFA and NLFA 16:1ω5c) were analyzed to evaluate the efficiency of nutrient acquisition strategies. AM fungal colonization decreased with increasing aridity by up to 55% intraradical and by up to 90% extraradical. High root tissue densities – indicating longevity of roots – and low specific root lengths – indicating a low nutrient uptake capacity – pointed to a slow and resource conservative acquisition strategy of plants in the arid shrubland. Plants in the matorral, on the contrary, had lower root tissue densities but higher specific root lengths and higher root N contents, pointing to a fast nutrient acquisition strategy. The expression of abundant acquisitive fine roots of plants in the matorral, however, comes at the cost of larger C investment, shown by high 13C incorporation into root tissue. High root tissue densities and greater root diameter indicated that plants in the humid-temperate forest followed a resource-conservative strategy and outsource their nutrient acquisition to AM fungi. This outsourcing provides an efficient pathway to compensate a low uptake capacity of thick and dense roots. These ecosystem-specific acquisition strategies and distinct mutualism with AM fungi across the biomes will likely affect the sensitivity of plants to abiotic and biotic stressors and, thus, ecosystem responses to future climatic and environmental changes. © 2021 Elsevier B.V.;"13CO2 pulse labeling; Arbuscular mycorrhiza; Natural ecosystems; Plant economic spectrum; Root economics space; Temperate rain forest";Article;Scopus;y;y;n;y;n;y;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;Forest;tree;woody;Araucaria;araucana;;;AMF;Natural;community;13C;3;22;ambient;field;;4;-37.81;-73.01;44;;7;;0.1810;;monkey puzzle tree, Araucariaceae plant from humid-temperate forest with an aridity index of 1.4 . C allocation measured as % incorperation of 13C tracer into NLFA 16:1ω5c (storage compound specific to AM). Mycelium at 0-30cm after 14d labelling (added 0-10cm and 20-30cm). Per mill values were convered to % by dividing results in plot by 10 as per paper;;;;
