date;site;size;energy_generated_kWh;adjusted_generation;KT;PRECTOT;T2M;WS10M;WS50M;pm25
1/04/2018;C2S1;26299;139246,162;0,61259558;0,58;0;15,85;2,56;3,98;4,316491247
2/04/2018;C2S1;26299;184160,25;0,810189333;0,68;0;12,93;4,42;5,89;5,750057888
3/04/2018;C2S1;26299;192121,455;0,84521363;0,73;0;15,18;1,97;2,76;6,433728381
4/04/2018;C2S1;26299;175236,656;0,770931129;0,72;0;15,67;2,41;3,43;7,761564144
5/04/2018;C2S1;26299;182147,554;0,801334736;0,69;0;16,05;3,81;5,31;5,476114407
6/04/2018;C2S1;26299;129971,838;0,571794384;0,59;0,3;15,9;5,37;6,88;4,201605804
7/04/2018;C2S1;26299;179033,572;0,787635173;0,49;2,97;15,94;5,12;6,9;2,461393049
8/04/2018;C2S1;26299;192245,002;0,84575716;0,76;0;14,32;4,85;6,68;6,809891097
9/04/2018;C2S1;26299;200537,143;0,882237367;0,74;0;18,97;4,47;6,36;10,79737144
10/04/2018;C2S1;26299;180198,682;0,792760924;0,75;0;20,19;3,38;4,77;9,493498359
11/04/2018;C2S1;26299;202214,96;0,889618707;0,74;0,01;16,12;4,55;6,07;8,689541352
12/04/2018;C2S1;26299;206107,183;0,906742042;0,75;0,09;8,57;9,33;11,91;5,490191421
13/04/2018;C2S1;26299;204756,963;0,900801923;0,77;0;12,21;4,38;5,93;2,881990769
14/04/2018;C2S1;26299;207408,484;0,912466948;0,77;0;16,42;2,75;3,88;8,928562878
15/04/2018;C2S1;26299;133874,391;0,588963164;0,56;0;15,4;3,09;4,19;9,880581478
16/04/2018;C2S1;26299;151919,564;0,668350582;0,62;0,38;9,17;5,88;7,53;5,692596871
18/04/2018;C2S1;26299;138997,671;0,611502376;0,72;0;11,55;3,96;5,36;5,239307206
19/04/2018;C2S1;26299;183476,885;0,807182957;0,61;0,19;8,46;5,42;7,29;4,788828939
20/04/2018;C2S1;26299;194509,561;0,855719796;0,76;0;13;2,65;4,16;4,369970929
21/04/2018;C2S1;26299;194805,304;0,857020879;0,74;0;17,96;2,48;3,67;5,536921803
22/04/2018;C2S1;26299;210671,048;0,926820179;0,75;0;20,05;2,46;3,57;4,976569086
23/04/2018;C2S1;26299;210578,563;0,926413303;0,75;0;20,28;2,69;3,72;9,066246374
24/04/2018;C2S1;26299;195234,491;0,858909032;0,68;0;20,6;1,75;2,45;10,26294982
25/04/2018;C2S1;26299;205788,719;0,905341001;0,74;0;20,08;2,29;3,15;9,622444753
26/04/2018;C2S1;26299;214349,005;0,943000878;0,74;0;18,34;2,96;3,96;7,222863615
27/04/2018;C2S1;26299;214939,234;0,945597514;0,76;0;14,21;4,52;5,9;9,261146904
28/04/2018;C2S1;26299;211840,077;0,931963172;0,76;0;13,56;5,56;7,36;6,917180259
29/04/2018;C2S1;26299;216717,06;0,953418831;0,65;0;11,82;5,7;7,33;6,2507034
30/04/2018;C2S1;26299;158348,239;0,696632711;0,47;0,01;11,48;4,16;5,51;7,574196665
1/05/2018;C2S1;26299;194329,036;0,854925599;0,28;2,27;9,81;3,02;3,74;8,399555194
2/05/2018;C2S1;26299;201475,668;0,886366287;0,46;0,23;12,32;3,03;3,9;10,07010826
3/05/2018;C2S1;26299;216679,994;0,953255764;0,74;0,01;16,65;1,7;2,5;5,007882175
4/05/2018;C2S1;26299;207001,01;0,910674319;0,73;0;20,65;2,26;2,98;7,054195956
5/05/2018;C2S1;26299;186764,366;0,821645806;0,69;0;22,83;2,55;3,55;7,933924069
6/05/2018;C2S1;26299;158611,721;0,697791866;0,55;0;21,04;2,76;3,7;5,520083649
7/05/2018;C2S1;26299;220343,016;0,969370758;0,75;0;19,94;3,72;5,05;8,725708182
8/05/2018;C2S1;26299;207994,061;0,915043119;0,7;0;21,51;2,57;3,84;8,513465729
9/05/2018;C2S1;26299;218379,963;0,960734559;0,73;0,01;22,1;4,52;6,05;5,93292915
