Building_Type,Year_Built,Floor_Area_m2,Orientation,Material,Insulation_Level,insulation_binary,Solar_Potential_kWh_m2,Wind_Potential_m_s,Geothermal_Potential,Energy_Demand_kWh,Installation_Area_m2,Carbon_Reduction_%,Payback_Period_Years,Optimal_Solar_Utilization_%
Stone_Villa,1844,67,East,Stone,Medium,High,4.962382804,2.202130615,1.2328137,8740,78,25.37751709,11.39909523,22.98301663
Thatched_Hut,1900,89,North,Timber,High,High,4.914786746,4.494622359,1.286294407,5358,34,26.92584375,8.824947087,7.357229323
Wooden_House,1911,70,North,Timber,Medium,High,4.709916117,2.53197966,1.500403126,8777,29,24.82472811,7.493479221,11.28005496
Stone_Villa,1919,192,North,Brick,Low,Low,7.401493109,4.169214908,0.900716105,10906,60,31.95619759,5.050909654,16.5856257
Stone_Villa,1939,274,West,Brick,Low,Low,4.180461669,4.318012964,1.865997493,15563,46,21.51373768,5.426385588,10.14598943
Thatched_Hut,1745,148,East,Brick,Low,Low,7.092952256,4.144698602,1.153508099,6721,79,38.34901191,8.001873107,18.38487746
Wooden_House,1734,75,East,Thatch,High,High,6.607213329,3.73693294,0.693629293,6349,92,24.45410328,7.795283025,23.11499515
Wooden_House,1952,57,South,Thatch,High,High,3.805919822,2.043826991,1.613448135,8696,71,27.13641729,6.292997367,14.71269649
Stone_Villa,1781,149,East,Brick,Medium,High,7.446916406,3.081126477,1.464656529,8896,47,34.7659247,7.768360196,12.04988715
Brick_Cottage,1955,289,East,Thatch,Medium,High,4.585463854,3.814518288,0.973615104,9260,84,18.25708318,6.222550458,24.5792492
Stone_Villa,1896,271,North,Stone,Low,Low,3.894331708,3.162353888,1.432278086,14788,36,12.25606086,10.94153877,11.20193835
Stone_Villa,1709,136,South,Stone,High,High,6.817256937,4.590439685,0.829792935,14819,63,31.23351935,7.087364145,20.19727578
Stone_Villa,1985,91,East,Thatch,Medium,High,6.326702135,2.926406826,1.167259039,11941,29,24.49035567,9.189950451,12.5150028
Stone_Villa,1941,221,West,Thatch,High,High,5.968875224,2.880604377,1.849118783,15694,82,36.89512753,8.519901434,26.05919882
Thatched_Hut,1950,63,East,Stone,High,High,4.123923455,2.797993079,0.70030135,18464,66,39.48040146,5.363174543,18.87013385
Wooden_House,1704,127,North,Timber,Low,Low,5.413984465,2.998342607,1.080044675,8808,57,21.97328052,11.59563604,11.18763185
Thatched_Hut,1818,51,West,Stone,Low,Low,6.622224108,3.672214893,1.731713637,10246,89,22.46317049,8.690581848,25.24140914
Thatched_Hut,1988,168,North,Stone,High,High,4.714495753,4.121045883,1.954236349,13384,95,22.23887807,7.275403504,24.55336228
Thatched_Hut,1764,86,East,Thatch,High,High,4.746759314,3.987703753,1.180889205,15866,72,19.73662329,6.106885987,16.66874791
Stone_Villa,1845,118,West,Stone,High,High,3.512563624,4.42315346,1.26049943,8845,97,33.45061293,7.369686443,22.7631008
Brick_Cottage,1923,215,South,Thatch,High,High,4.196973607,4.657741986,1.358257943,7577,63,32.76987287,5.143581221,16.05928183
Wooden_House,1938,286,South,Thatch,Low,Low,7.0016225,4.448237127,1.898522212,5091,93,24.35934612,7.544907087,27.32718605
Brick_Cottage,1876,90,West,Brick,Medium,High,5.266985967,2.05683621,1.787310186,9234,73,11.33983649,8.720401491,15.05871245
Thatched_Hut,1966,111,West,Stone,Low,Low,7.436937997,4.207753861,0.755901687,13672,39,19.28677905,11.10306372,15.86137695
Thatched_Hut,1981,295,North,Timber,Medium,High,5.082831854,2.625198721,1.155136727,11592,98,18.7690914,9.811620924,26.15871859
Brick_Cottage,1762,109,West,Brick,High,High,6.360745819,2.398784128,1.196000642,18644,50,34.33261739,5.781076192,16.76263083
Brick_Cottage,1916,174,North,Thatch,Medium,High,4.627676172,3.915466354,1.683644167,16108,26,12.6272672,6.034224271,8.367937683
Brick_Cottage,1982,160,East,Thatch,Low,Low,4.955238565,2.959229586,1.404339324,17627,77,34.17026137,7.996863575,18.39616551
Thatched_Hut,1876,63,North,Timber,Low,Low,4.26290395,2.17135149,1.481330693,13128,29,30.07550957,6.369954261,4.84839597
Thatched_Hut,1797,297,West,Thatch,High,High,4.888249474,2.412889203,1.997299861,6075,29,31.97324377,5.194948443,6.678691288
Wooden_House,1804,280,West,Stone,Low,Low,5.688950082,2.002788251,0.612440065,7513,58,22.96639563,10.63510416,17.156407
Wooden_House,1798,266,East,Brick,High,High,7.467091524,4.709670882,0.834514735,13168,47,30.39177388,5.136657995,14.86079282
Thatched_Hut,1705,133,West,Thatch,Low,Low,6.156806852,2.073853952,1.111843906,11861,49,28.27086834,10.81482724,10.04090615
